text,label
I feel mad and agitated!!,anger
I feel drained and tired these days!,sadness
I miss my friends and support...,sadness
I am heartbroken about this situation...,sadness
I'm disappointed by my performance at the moment.,sadness
I'm struggling with my workload at the moment.,sadness
I am struggling with my workload at the moment?,sadness
I'm thrilled with my progress?,joy
I am thrilled with my progress right now,joy
I am confident and proud...,joy
I feel threatened by this situation,fear
I am disappointed by my performance!!,sadness
I feel drained and tired.,sadness
I am feeling upbeat and positive today...,joy
I can't tolerate this situation...,anger
I feel drained and tired,sadness
I miss my friends and support today?,sadness
I feel gloomy and sad?,sadness
I feel very angry.,anger
I'm thrilled with my progress currently...,joy
I feel hopeless,sadness
I feel drained and tired,sadness
I feel indifferent currently,neutral
I feel provoked and tense!!,anger
