text,label
I am confident and proud these days!,joy
I'm heartbroken about this situation!,sadness
I feel hopeless currently,sadness
I feel composed these days,neutral
I'm uneasy and worried currently,fear
I feel indifferent currently?,neutral
I am concerned about my future today,fear
I feel nervous about the results...,fear
I am uneasy and worried...,fear
I'm heartbroken about this situation today!,sadness
I feel insecure and vulnerable currently,fear
Everything is going well for me these days!,joy
I feel drained and tired.,sadness
I'm irritated and upset these days!,anger
I am thrilled with my progress right now,joy
I feel drained and tired at the moment!!,sadness
I feel provoked and tense.,anger
I am frustrated and enraged currently?,anger
I feel average and stable,neutral
I am heartbroken about this situation these days?,sadness
This makes me so angry right now,anger
I'm struggling with my workload at the moment.,sadness
I'm anxious right now currently,fear
I am unhappy with my results right now,sadness
I feel gloomy and sad,sadness
I feel composed currently,neutral
I am struggling with my workload these days,sadness
This makes me so cheerful!!,joy
I feel composed today!,neutral
I feel mad and agitated,anger
I feel content and satisfied?,joy
I am frustrated and enraged at the moment!,anger
I feel nervous about the results right now.,fear
I feel drained and tired at the moment!!,sadness
I feel average and stable these days,neutral
I'm relaxed and steady currently?,neutral
Nothing special is happening right now...,neutral
I am uneasy and worried!!,fear
I am frustrated and enraged!,anger
I am unhappy with my results at the moment...,sadness
Nothing special is happening.,neutral
This makes me so cheerful...,joy
I am confident and proud right now.,joy
I feel fantastic today right now!,joy
I'm furious about this delay!,anger
I'm frustrated and enraged at the moment...,anger
I feel very down today?,sadness
I'm concerned about my future,fear
I'm relaxed and steady right now,neutral
I fear I might make mistakes currently,fear
I'm uneasy and worried!,fear
I feel inspired today currently.,joy
I can't tolerate this situation.,anger
I'm frustrated and enraged at the moment,anger
I feel unbothered right now.,neutral
I am annoyed by everything?,anger
I'm scared of failing this exam at the moment,fear
I'm disappointed by my performance currently,sadness
I can't tolerate this situation!!,anger
I miss my friends and support,sadness
Nothing special is happening,neutral
I feel gloomy and sad right now!!,sadness
I feel very down today...,sadness
I feel apprehensive right now?,fear
I feel panicked these days...,fear
I feel average and stable,neutral
I'm scared of failing this exam...,fear
I feel balanced and calm!,neutral
I feel content and satisfied,joy
Everything is going well for me.,joy
I'm okay today,neutral
I feel provoked and tense!,anger
I am frustrated and enraged,anger
I am furious about this delay!,anger
These results make me furious right now...,anger
These results make me furious at the moment?,anger
I have no strong feelings.,neutral
I feel threatened by this situation these days!!,fear
I am delighted by the results today,joy
I feel inspired today...,joy
Everything is going well for me right now,joy
I'm fine.,neutral
I fear I might make mistakes at the moment.,fear
I feel very angry at the moment...,anger
I feel gloomy and sad,sadness
I'm thrilled with my progress today,joy
I feel content and satisfied?,joy
Everything is usual!!,neutral
I feel hopeless currently!,sadness
I feel gloomy and sad?,sadness
I feel apprehensive...,fear
I feel indifferent today!!,neutral
I am okay today.,neutral
I feel indifferent these days.,neutral
I feel inspired today at the moment,joy
I miss my friends and support currently.,sadness
Nothing special is happening.,neutral
I am confident and proud,joy
I feel very down today right now.,sadness
I am disappointed by my performance,sadness
I feel average and stable right now,neutral
I feel fantastic today,joy
I feel unbothered currently!!,neutral
I am anxious right now?,fear
This makes me so angry these days.,anger
I feel insecure and vulnerable right now,fear
I'm enjoying this moment currently!!,joy
I'm disappointed with this behavior at the moment!!,anger
I'm frustrated and discouraged!!,sadness
I feel mad and agitated currently...,anger
I'm heartbroken about this situation currently!,sadness
I'm frustrated and discouraged.,sadness
I am furious about this delay right now!,anger
I can't stand these mistakes?,anger
I feel gloomy and sad.,sadness
I feel insecure and vulnerable right now...,fear
Everything is going well for me right now!,joy
I feel very down today?,sadness
I am concerned about my future right now,fear
I feel apprehensive currently!,fear
I'm tense and jittery currently,fear
I feel panicked these days,fear
I feel lonely at the moment,sadness
I feel composed today?,neutral
I'm frustrated and discouraged!!,sadness
I'm disappointed with this behavior!,anger
I feel fantastic today at the moment?,joy
I'm confident and proud these days...,joy
I am unhappy with my results...,sadness
I am uneasy and worried currently.,fear
I feel provoked and tense currently?,anger
I am relaxed and steady these days!,neutral
I feel panicked these days,fear
I fear I might make mistakes,fear
I feel inspired today today,joy
I feel panicked these days,fear
I feel threatened by this situation.,fear
I feel gloomy and sad these days?,sadness
I am fine currently...,neutral
I can't stand these mistakes!,anger
I'm uneasy and worried,fear
I feel lonely currently!!,sadness
I am okay today,neutral
I feel composed!,neutral
I feel average and stable these days?,neutral
This makes me so cheerful these days.,joy
I have no strong feelings right now,neutral
I feel fantastic today today...,joy
I am fine these days...,neutral
I feel insecure and vulnerable today,fear
I feel nervous about the results.,fear
I am feeling upbeat and positive right now!,joy
I am annoyed by everything?,anger
I miss my friends and support right now?,sadness
I have no strong feelings right now!,neutral
I am disappointed by my performance right now?,sadness
I am fine.,neutral
I feel average and stable...,neutral
I feel insecure and vulnerable these days,fear
I can't stand these mistakes,anger
I'm annoyed by everything...,anger
I'm struggling with my workload.,sadness
I'm fine,neutral
Everything is going well for me,joy
I'm enjoying this moment?,joy
I am heartbroken about this situation right now!,sadness
I feel average and stable right now!,neutral
